Picture Series;Picture;Price;Gallery;Link
12;4;0,2;THM;https://opensea.io/assets/ethereum/0x75d639e5e52b4ea5426f2fb46959b9c3099b729a/1401
13;0;0,05;BTF;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/108860796568578893723715456682185339363564317176296048185236173502090334699521
13;1;0,04;BTF;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/108860796568578893723715456682185339363564317176296048185236173518583009116161
13;2;0,32;BTF;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/108860796568578893723715456682185339363564317176296048185236173516383985860609
13;3;0,028;BTF;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/108860796568578893723715456682185339363564317176296048185236173517483497488385
13;4;0,026;BTF;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/108860796568578893723715456682185339363564317176296048185236173509786916093953
14;0;70;WHR;https://opensea.io/assets/ethereum/0x509a050f573be0d5e01a73c3726e17161729558b/123
14;1;60;WHR;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/71349417930267003648058267821921373972951788320258492784107927351007685640193
14;2;47;WHR;https://opensea.io/assets/ethereum/0x509a050f573be0d5e01a73c3726e17161729558b/64
14;3;40;WHR;https://opensea.io/assets/ethereum/0x509a050f573be0d5e01a73c3726e17161729558b/104
14;4;29,37;WHR;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/71349417930267003648058267821921373972951788320258492784107927381794011217921
15;0;0,1;TYL;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/25828147237821198195018353565513715926828886605696715423323237841013579972618
15;1;0,1;TYL;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/25828147237821198195018353565513715926828886605696715423323237775042882306058
15;2;0,1;TYL;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/25828147237821198195018353565513715926828886605696715423323237773943370678275
15;3;0,9;TYL;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/25828147237821198195018353565513715926828886605696715423323237836615533461514
15;4;0,9;TYL;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/25828147237821198195018353565513715926828886605696715423323237837715045089290
16;0;0,25;DSR;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/95894039270700875555411113318266458536387426195495690753692849679326131519489
16;1;0,25;DSR;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/95894039270700875555411113318266458536387426195495690753692849680425643147265
16;2;0,25;DSR;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/95894039270700875555411113318266458536387426195495690753692849662833457102849
16;3;0,25;DSR;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/95894039270700875555411113318266458536387426195495690753692849674928085008385
16;4;0,25;DSR;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/95894039270700875555411113318266458536387426195495690753692849660634433847297
17;0;0,21;DSR;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/95894039270700875555411113318266458536387426195495690753692849676027596636161
17;1;0,21;DSR;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/95894039270700875555411113318266458536387426195495690753692849681525154775041
17;2;0,21;DSR;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/95894039270700875555411113318266458536387426195495690753692849661733945475073
17;3;0,2;DSR;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/95894039270700875555411113318266458536387426195495690753692849670530038497281
17;4;0,2;DSR;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/95894039270700875555411113318266458536387426195495690753692849692520271052801
18;0;0,25;SPR;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/36388733735061083786475834014155955711748965200924391160511104840630389440513
18;1;0,25;SPR;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/36388733735061083786475834014155955711748965200924391160511104839530877812737
18;2;0,25;SPR;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/36388733735061083786475834014155955711748965200924391160511104845028435951617
18;3;0,25;SPR;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/36388733735061083786475834014155955711748965200924391160511104842829412696065
18;4;0,25;SPR;https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/36388733735061083786475834014155955711748965200924391160511104838431366184961
19;0;0,88;WMN;https://opensea.io/assets/ethereum/0xbee7cb80dfd21a9eaae714208f361601f68eb746/6294
19;1;0,88;WMN;https://opensea.io/assets/ethereum/0xbee7cb80dfd21a9eaae714208f361601f68eb746/563
19;2;0,88;WMN;https://opensea.io/assets/ethereum/0xbee7cb80dfd21a9eaae714208f361601f68eb746/389
19;3;0,88;WMN;https://opensea.io/assets/ethereum/0xbee7cb80dfd21a9eaae714208f361601f68eb746/335
19;4;0,88;WMN;https://opensea.io/assets/ethereum/0xbee7cb80dfd21a9eaae714208f361601f68eb746/591
